x,underY,distance
7,26,73.96588134765625
7,27,72.06893157958984
7,28,69.63491058
7,29,65.41909027
7,30,60.92125701904297
7,31,57.94586181640625
7,32,55.36097717285156
7,33,52.12712478637695
7,34,48.589481353759766
7,35,45.35538864135742
7,36,42.927207946777344
7,37,41.04655838012695
7,38,39.491905212402344
7,39,38.17805862426758
7,40,37.24184036254883
7,41,36.31077194213867
7,42,35.31980895996094
7,43,34.35425567626953
7,44,33.24624252319336
7,45,32.08926773071289
7,46,30.940914154052734
7,47,29.824615478515625
7,48,28.69550323486328
7,49,27.571975708007812
7,50,26.464759826660156
7,51,25.41260528564453
7,52,24.366573333740234
7,53,23.39068603515625
7,54,22.515811920166016
7,55,21.725500106811523
7,56,21.034622192382812
7,57,20.432998657226562
7,58,19.833454132080078
7,59,19.235836029052734
7,60,18.655981063842773
7,61,18.086353302001953
7,62,17.56347656
7,63,17.053146362304688
7,64,16.543445587158203
7,65,16.03427505493164
7,66,15.52554702758789
7,67,15.01717472076416
7,68,14.509064674377441
7,69,14.00324821472168
7,70,13.547517776489258
7,71,13.10474967956543
7,72,12.672386169433594
7,73,12.254585266113281
7,74,11.865975379943848
7,75,11.477191925048828
7,76,11.088187217712402
7,77,10.711803436279297
7,78,10.355602264404297
7,79,9.999058723449707
7,80,9.642127037
7,81,9.284766197
7,82,8.926935195922852
7,83,8.568587303161621
7,84,8.209682465
7,85,7.850179195404053
7,86,7.490032196044922
7,87,7.129200458526611
7,88,6.767643451690674
7,89,6.405313491821289
7,90,6.042174339294434
7,91,5.6781768798828125
7,92,5.313283920288086
